    ars    |                           gen                           |                                    st_extent                                     
 150910010 | Annaburg                                                | BOX(12.829712646200768 51.63730338400392,13.187071618933059 51.78062731299502)
 092729451 | Annathaler Wald                                         | BOX(13.598517498643655 48.86779199278489,13.663469977441077 48.915794784804724)
 073375001 | Annweiler am Trifels                                    | BOX(7.825709726264824 49.1202973066339,8.044747120559908 49.28382156111011)
 059740004 | Anröchte                                                | BOX(8.224664505427217 51.507286195468,8.386288884499814 51.592996157698174)
 160640073 | Anrode                                                  | BOX(10.298587434051877 51.21692780967156,10.43050683119968 51.31557542368927)
 095610000 | Ansbach                                                 | BOX(10.45427871118348 49.23369283382182,10.656759178801767 49.34368268414225)
 065350002 | Antrifttal                                              | BOX(9.145807127119497 50.75960958081209,9.24104512330596 50.83664519471345)
 091750111 | Anzing                                                  | BOX(11.822322682236118 48.13101670946158,11.888002762597838 48.18246064394168)
 091759451 | Anzinger Forst                                          | BOX(11.839846340455534 48.10805678614393,11.949759116395807 48.16698910088758)
 034510001 | Apen                                                    | BOX(7.697543111571964 53.15889750048448,7.872899025624675 53.261794119703865)
 033595401 | Apensen                                                 | BOX(9.50989746469173 53.33704130217443,9.683076785857706 53.472976834431066)
 160710001 | Apolda                                                  | BOX(11.434449099698936 50.98428718413116,11.58473482242224 51.07430871898018)
 083170005 | Appenweier                                              | BOX(7.938581374311024 48.504809225880216,8.036822608442867 48.61651012421087)
 095710113 | Arberg                                                  | BOX(10.577147482224609 49.10126977466478,10.693664542927987 49.1623215043663)
 150810030 | Arendsee (Altmark)                                      | BOX(11.311619174305024 52.73557023950667,11.63752384134045 52.941633920817765)
 010595993 | Arensharde                                              | BOX(9.280737985899027 54.44205078780931,9.545296516654261 54.61922687933914)
 091850113 | Aresing                                                 | BOX(11.24196922635427 48.4832961874497,11.341458758400854 48.55319532851788)
 084360094 | Argenbühl                                               | BOX(9.86967520712445 47.65230099155792,10.00411316517264 47.753267028518536)
 097765737 | Argental                                                | BOX(9.91997464706858 47.600735466113804,10.077292399397699 47.686983016406245)
 092760113 | Arnbruck                                                | BOX(12.913509844053065 49.102686074083564,13.066018582767937 49.16656265108913)
 150905051 | Arneburg-Goldbeck                                       | BOX(11.675446697205311 52.625665644165764,12.048152622761716 52.89037025581738)
 059580004 | Arnsberg                                                | BOX(7.863767206648451 51.3546941955576,8.210045859740097 51.49139487323067)
 093720112 | Arnschwang                                              | BOX(12.764970772439366 49.22585896836687,12.86661721520344 49.300861093810795)
 146250010 | Arnsdorf                                                | BOX(13.926311567540825 51.06102070666016,14.047454271607764 51.1263181672201)
 160700004 | Arnstadt                                                | BOX(10.870004354582992 50.72712446784073,11.051947135885566 50.87573299801983)
 096770114 | Arnstein                                                | BOX(9.864663322663079 49.930832234868646,10.04616203449674 50.05802445793914)
 150870031 | Arnstein                                                | BOX(11.306448800280316 51.61162570695897,11.612893168758104 51.72993963585697)
 092770111 | Arnstorf                                                | BOX(12.752135534380326 48.50114903529481,12.895882998074452 48.60799510469602)
 093720113 | Arrach                                                  | BOX(12.959183920939422 49.157097951426,13.02729565666689 49.22828299502138)
 160655055 | Artern                                                  | BOX(11.199047170745683 51.2874456274103,11.401066530544913 51.41318615171354)
 034595401 | Artland                                                 | BOX(7.687850090811992 52.58504627309378,8.087695443446279 52.709339206912986)
 094790112 | Arzberg                                                 | BOX(12.124270979142432 49.99757419396513,12.244191938479434 50.08095071269785)
 072325001 | Arzfeld                                                 | BOX(6.11235482577163 50.02225911569706,6.449471911299442 50.1793190567109)
