  ars  |                gen                |                                    st_extent                                     
 09563 | Fürth                             | BOX(10.89316348468623 49.4365402011888,11.028631805790132 49.54109697366982)
 09573 | Fürth                             | BOX(10.680367997423794 49.35462293732719,11.026210150584529 49.54904382205503)
 09180 | Garmisch-Partenkirchen            | BOX(10.869482365362227 47.39338623480515,11.421453926649342 47.73703002752823)
 05513 | Gelsenkirchen                     | BOX(6.987485679411425 51.4808380908705,7.145056865822037 51.63150936064454)
 16052 | Gera                              | BOX(11.997975122534724 50.79910894565205,12.169534513212453 50.97653048644481)
 07334 | Germersheim                       | BOX(8.055029172457644 48.966571445706286,8.413072413102217 49.29774303492981)
 06531 | Gießen                            | BOX(8.519074172886704 50.41501875406999,9.134140727408868 50.70930883024736)
 03151 | Gifhorn                           | BOX(10.259564412317664 52.32041535509346,11.008781743798338 52.83422199826048)
 08117 | Göppingen                         | BOX(9.4840071277576 48.51729113568955,9.994522944098607 48.78135891452188)
 14626 | Görlitz                           | BOX(14.440103001768502 50.81934870579059,15.041815656468223 51.59730833345156)
 03153 | Goslar                            | BOX(10.065526200862944 51.63791097827339,10.701371992415618 52.05622939690297)
 16067 | Gotha                             | BOX(10.400862329918077 50.71546471067069,10.964631004988266 51.111790855418356)
 03159 | Göttingen                         | BOX(9.5484411274475 51.29523189926012,10.682480919163371 51.833176552594956)
 03456 | Grafschaft Bentheim               | BOX(6.68086831046052 52.2411410940412,7.317481058570257 52.653116656247036)
 16076 | Greiz                             | BOX(11.85814337151564 50.549354070891525,12.32204841178818 50.97586604439119)
 06433 | Groß-Gerau                        | BOX(8.288245049957816 49.71708926836482,8.630228569824968 50.083659526764265)
 09774 | Günzburg                          | BOX(10.133895409081187 48.16009052285863,10.599538545295738 48.527743774873294)
 05754 | Gütersloh                         | BOX(8.075477753161504 51.71747610223358,8.74838714189622 52.1351717966584)
 05914 | Hagen                             | BOX(7.376307999576078 51.26486924655583,7.599215400756532 51.41798373847592)
 15002 | Halle (Saale)                     | BOX(11.857053039317607 51.402870181259274,12.088502845792028 51.54368062006708)
 02000 | Hamburg                           | BOX(8.419906902141577 53.39507025766996,10.325959157503771 53.964403261466764)
 03252 | Hameln-Pyrmont                    | BOX(9.154688559698595 51.91944145797367,9.684603726687541 52.2743199105639)
 05915 | Hamm                              | BOX(7.675536280292726 51.57805231922082,7.997528913639971 51.7447664751575)
 03353 | Harburg                           | BOX(9.561186109552084 53.129005463453936,10.471014756308758 53.50527891034964)
 15085 | Harz                              | BOX(10.561226987731537 51.565974905821946,11.408870958449077 52.059713612091485)
 09674 | Haßberge                          | BOX(10.320344673127487 49.85524819940306,10.87929543669478 50.236513648166124)
 12063 | Havelland                         | BOX(12.141811422915714 52.43895118474507,13.166457606193436 52.81052846474133)
 03358 | Heidekreis                        | BOX(9.317166621002833 52.59948623592688,10.236851222651921 53.219482036544235)
 08221 | Heidelberg                        | BOX(8.57312513957944 49.352159661223496,8.79412886129343 49.45958767769741)
 08135 | Heidenheim                        | BOX(9.920062671622565 48.50009960989515,10.495748779340063 48.787170522401915)
 08121 | Heilbronn                         | BOX(9.044506190318447 49.09298723904262,9.300539777885312 49.210537459804044)
 08125 | Heilbronn                         | BOX(8.816060714136926 49.020347998791365,9.527490531620062 49.38790454620533)
 05370 | Heinsberg                         | BOX(5.866250350714273 50.89821363158934,6.477169230416989 51.18991990115717)
 03154 | Helmstedt                         | BOX(10.600863913916026 52.04774864985524,11.086244118790397 52.47179492736119)
 05758 | Herford                           | BOX(8.403805013906107 52.05885126779607,8.927116076331515 52.26761383144046)
 05916 | Herne                             | BOX(7.123446756520397 51.503117112254465,7.296311149701394 51.573406390933634)
 06632 | Hersfeld-Rotenburg                | BOX(9.433281027794779 50.71778291785896,10.063865032469096 51.08556753424413)
 01053 | Herzogtum Lauenburg               | BOX(10.235029231747426 53.35983098363718,10.954884037806938 53.82752729892146)
 16069 | Hildburghausen                    | BOX(10.450531777079762 50.204818957171696,11.039552559738356 50.61526497237057)
 03254 | Hildesheim                        | BOX(9.628811925260074 51.89690614977434,10.263958468326612 52.29688447757306)
 05958 | Hochsauerlandkreis                | BOX(7.863767206648451 51.092548116293116,8.97081495620983 51.548585395992795)
 06434 | Hochtaunuskreis                   | BOX(8.315193694309956 50.15547615140275,8.712380313980312 50.4150484550264)
 09464 | Hof                               | BOX(11.807403592339893 50.26711095621315,11.97208754118287 50.35499253918991)
 09475 | Hof                               | BOX(11.528595685744442 50.103248024497304,12.162127956109156 50.42472776376185)
 08126 | Hohenlohekreis                    | BOX(9.343376838881522 49.09544215210464,9.860396262786331 49.430089687849915)
