     ars      |                 gen                  |                                    st_extent                                     
 071345005003 | Allenbach                            | BOX(7.071779702522892 49.69587297258591,7.210354075313917 49.770520344932365)
 071415011001 | Allendorf                            | BOX(7.985700328652331 50.257939558621025,8.029681465444245 50.28365744662854)
 160735054001 | Allendorf                            | BOX(11.120524100196953 50.637362366980284,11.17404400681544 50.678599439215404)
 066350001001 | Allendorf (Eder)                     | BOX(8.582282913061189 51.003451703930494,8.740419718943986 51.073180937947406)
 065310001001 | Allendorf (Lumda)                    | BOX(8.780191918906752 50.646164966873854,8.864559720816457 50.707804087758674)
 071335006002 | Allenfeld                            | BOX(7.659207575394485 49.857359159281856,7.692814509067635 49.87794802082504)
 083355004002 | Allensbach                           | BOX(9.032897777865543 47.69568956276624,9.127885443229147 47.77424157882248)
 095760113113 | Allersberg                           | BOX(11.161919745931842 49.20252564277684,11.321950469433059 49.28174041895777)
 091785127113 | Allershausen                         | BOX(11.554792735277584 48.39923406223421,11.637577652711075 48.46706570965988)
 084265001005 | Alleshausen                          | BOX(9.59157101081086 48.08303727134703,9.6417081283969 48.12881271926263)
 091790113113 | Alling                               | BOX(11.2234463045137 48.11953145637211,11.331050777926807 48.165037110861)
 097725706114 | Allmannshofen                        | BOX(10.77651820561943 48.601781578777,10.844722353577112 48.63499457623375)
 084265001006 | Allmannsweiler                       | BOX(9.578482927765082 48.01651453088139,9.618693858570884 48.03828963338604)
 084255001002 | Allmendingen                         | BOX(9.618459701407684 48.29860823023704,9.822201859985642 48.36532580318596)
 081195001003 | Allmersbach im Tal                   | BOX(9.44167195867314 48.89204267106531,9.497994173645758 48.9224413477671)
 150870015015 | Allstedt                             | BOX(11.316991232306384 51.33981013996125,11.504352639749202 51.561483056542826)
 010545494006 | Almdorf                              | BOX(8.989750246316465 54.56493237846375,9.02987882593691 54.60081800349438)
 071325010001 | Almersbach                           | BOX(7.613995279507598 50.671433532691736,7.636861532971286 50.677471145113444)
 051700004004 | Alpen                                | BOX(6.41362275299672 51.554727490966,6.56312106091913 51.63180586844879)
 071435002202 | Alpenrod                             | BOX(7.826408930863607 50.61376064896696,7.893357810295081 50.66134157154377)
 160685012001 | Alperstedt                           | BOX(11.030369902522594 51.07754961954179,11.079696884147266 51.116519381609486)
 082370002002 | Alpirsbach                           | BOX(8.326471372519253 48.30111640512202,8.50220481916408 48.44203950276615)
 071435005001 | Alsbach                              | BOX(7.64774354476396 50.45687038265288,7.703617901930691 50.486077459354256)
 064320001001 | Alsbach-Hähnlein                     | BOX(8.554042476335077 49.724894752128264,8.646422204339359 49.76667125362966)
 053340004004 | Alsdorf                              | BOX(6.12159474612856 50.84197962734133,6.230164980581691 50.89415356690761)
 071325009002 | Alsdorf                              | BOX(7.865024935736871 50.74656713692033,7.902901704497445 50.785929991599716)
 072325005002 | Alsdorf                              | BOX(6.441449482593471 49.875288615267294,6.49596890538212 49.898005554155084)
 073335007003 | Alsenz                               | BOX(7.794280404973227 49.705315219164994,7.848995760591007 49.75832821299854)
 065350001001 | Alsfeld                              | BOX(9.171133867425365 50.698576480797136,9.461065892989065 50.826559155707194)
 073315002002 | Alsheim                              | BOX(8.285992758707362 49.74432604150111,8.354549368856217 49.78528112735581)
 150895052005 | Alsleben (Saale)                     | BOX(11.615639313380015 51.65488350593561,11.733729872886311 51.732351316859905)
 081165006004 | Altbach                              | BOX(9.361019864742271 48.715786218296444,9.39413611677605 48.73877820529238)
 010595996001 | Alt Bennebek                         | BOX(9.356143534900022 54.36217207878119,9.491115993101058 54.390836513596156)
 130725259002 | Alt Bukow                            | BOX(11.57591649144196 53.98375264195197,11.666999037288724 54.02770906828898)
 120665601008 | Altdöbern                            | BOX(13.943363919083598 51.61064927125926,14.128655178370524 51.700297034950395)
 073375003002 | Altdorf                              | BOX(7.9854544947065 49.274383615384586,8.236592377656454 49.33279068343885)
 081155004002 | Altdorf                              | BOX(8.976558443466127 48.5768531128769,9.043131995722373 48.647906320596206)
 081165003005 | Altdorf                              | BOX(9.257887116734237 48.582073487357434,9.292067644846966 48.602456205507124)
 092740113113 | Altdorf                              | BOX(12.04003161657083 48.53508819551656,12.126555789298747 48.59026762555656)
